no,Day,tanggalformat,Jumlah_Kasus_Baru_per_Hari,retail_and_recreation,grocery_and_pharmacy,residential,transit_stations,parks,workplaces
457,6/1/2021,2021/06/01,4824,1.143,23.429,7.286,-16.429,12.571,-27.286
458,6/2/2021,2021/06/02,5246,1,24,6.286,-16.143,8.857,-22
459,6/3/2021,2021/06/03,5353,1.571,24.857,6.286,-16,9.286,-21.714
460,6/4/2021,2021/06/04,6486,1.857,25.286,6.143,-16,9.714,-21.571
461,6/5/2021,2021/06/05,6594,2.714,26.571,6,-15.714,10.714,-21.571
462,6/6/2021,2021/06/06,5832,2.714,26.571,6,-15.714,10.429,-21.714
463,6/7/2021,2021/06/07,6993,2.286,26.286,6,-16.143,9.571,-21.429
464,6/8/2021,2021/06/08,6294,1.429,25.571,5.143,-16.714,5.714,-16
465,6/9/2021,2021/06/09,7725,1.286,25.143,5.286,-17.143,5.714,-16
466,6/10/2021,2021/06/10,8892,1,24.571,5.286,-17.429,5.286,-16
467,6/11/2021,2021/06/11,8083,0.857,24.143,5.429,-17.714,4.857,-16
468,6/12/2021,2021/06/12,7465,0.429,23.429,5.571,-18.286,4.286,-15.857
469,6/13/2021,2021/06/13,9868,0.143,22.857,5.714,-18.857,4,-15.714
470,6/14/2021,2021/06/14,8189,-0.286,22.143,5.857,-19.143,3.429,-15.714
471,6/15/2021,2021/06/15,8161,-1,21.286,6,-19.429,2.429,-15.857
472,6/16/2021,2021/06/16,9944,-1.571,20.429,6.143,-19.857,1.429,-16.143
473,6/17/2021,2021/06/17,12624,-2.286,19.571,6.286,-20.429,0.714,-16.429
474,6/18/2021,2021/06/18,12990,-3.143,18.714,6.429,-21.143,0,-16.714
475,6/19/2021,2021/06/19,12906,-4.429,17.571,6.714,-22.429,-1.714,-17
476,6/20/2021,2021/06/20,13737,-5.857,16.286,7,-24,-3.714,-17.429
477,6/21/2021,2021/06/21,14536,-6.857,15.571,7.286,-25,-4.857,-18.143
478,6/22/2021,2021/06/22,13668,-7.429,15.429,7.429,-25.857,-5.286,-18.857
479,6/23/2021,2021/06/23,15308,-8.286,14.857,7.714,-26.857,-5.857,-19.429
480,6/24/2021,2021/06/24,20574,-9.286,14.143,8.143,-27.857,-6.857,-20.143
481,6/25/2021,2021/06/25,18872,-9.429,14.714,8.429,-28.714,-7.143,-20.857
482,6/26/2021,2021/06/26,21095,-9.714,15,8.571,-29.429,-7.429,-21.286
483,6/27/2021,2021/06/27,21342,-10,15.143,8.857,-30.286,-8,-21.286
484,6/28/2021,2021/06/28,20694,-10,15.571,9.143,-31,-8.286,-21.714
485,6/29/2021,2021/06/29,20467,-10.286,15.571,9.429,-31.857,-8.857,-22.143
486,6/30/2021,2021/06/30,21807,-10.571,16.286,9.429,-32.571,-9.429,-22.714
487,7/1/2021,2021/07/01,24836,-10,18,9.571,-33,-9.286,-23
488,7/2/2021,2021/07/02,25830,-10,18.857,9.857,-33.286,-9.571,-23.429
489,7/3/2021,2021/07/03,27913,-10.714,19,10.286,-34.571,-10.714,-24.143
490,7/4/2021,2021/07/04,27233,-11.714,19,10.714,-36,-12.571,-25
491,7/5/2021,2021/07/05,29745,-12.429,19.286,11.143,-37.286,-13.429,-25.571
492,7/6/2021,2021/07/06,31189,-13.143,19.571,11.571,-38.571,-14.286,-26.143
493,7/7/2021,2021/07/07,34379,-13.857,19.429,12.143,-39.857,-15,-26.714
494,7/8/2021,2021/07/08,38391,-15.429,18,12.571,-41.429,-16.429,-27.429
495,7/9/2021,2021/07/09,38124,-17.143,16.143,13,-43.429,-18.143,-28.143
496,7/10/2021,2021/07/10,35094,-18.143,15,13.286,-44.429,-19.429,-28.429
497,7/11/2021,2021/07/11,32615,-19,14.143,13.429,-45.143,-20.571,-28.571
498,7/12/2021,2021/07/12,34754,-19.857,13,13.571,-46,-21.429,-28.857
